Family Size,Family,Pairs ≥ 2x,Pairs ≥ 3x,Quadruples with ≥2 Triples
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (2, 3, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5), (3, 4, 5))",5,0,5
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5), (2, 3, 4))",4,0,4
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5), (2, 4, 5))",5,0,5
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 3, 4), (2, 3, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 3, 4), (3, 4, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 4, 5), (3, 4, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 5), (2, 4, 5), (3, 4, 5))",6,0,6
6,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 4, 5), (2, 3, 5), (3, 4, 5))",4,0,4
6,"((0, 1, 2), (0, 1, 3), (0, 4, 5), (1, 4, 5), (2, 3, 4), (2, 3, 5))",3,0,3
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 2, 5))",5,2,9
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 4))",4,4,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (0, 3, 5))",5,3,8
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 3))",7,2,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 2, 5))",6,2,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 4))",6,2,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (1, 3, 5))",6,2,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (2, 3, 4))",6,2,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (2, 3, 5))",5,2,8
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4), (3, 4, 5))",4,2,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (1, 2, 3))",8,1,6
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (1, 2, 4))",7,1,6
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5), (2, 3, 4))",6,1,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 3), (2, 3, 4))",6,2,8
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 3), (2, 4, 5))",6,1,6
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4), (2, 3, 4))",7,1,8
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4), (2, 3, 5))",6,1,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4), (3, 4, 5))",5,1,6
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 4, 5), (2, 3, 4))",6,1,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 3, 4), (2, 3, 5))",4,2,9
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 3, 4), (2, 4, 5))",5,1,8
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 4, 5), (3, 4, 5))",4,1,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (2, 3, 4), (2, 3, 5), (2, 4, 5))",4,1,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5))",5,4,5
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5))",5,4,9
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 3))",7,3,6
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 4))",7,3,6
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5))",5,3,7
7,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5), (1, 3, 4))",6,3,6
